"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_20.0_ 2x 2_local","2020",FALSE,6.91746335809403,-2.51496627973711,3.44893545063269,-26.66297418907,36.5646560118494,3.44893545063269,5.06611520146293,0.921492554144087,4.99657555239873,-3.55416611472099,-41.5655887300147,2.79448977111842,0,0,0,-5,-10,20,2,36.1764790217082
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_20.0_ 2x 2_local","2020",FALSE,4.93553819578718,-0.808272937549928,2.45767374213087,-14.0720667651955,42.7882060373907,2.45767374213087,3.49926532791423,0.857935468047258,2.99405684403103,-2.6119908240604,-46.59237628191,1.90380572569928,1,2,1,-2,-7,20,2,18.6047603209813
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_20.0_ 2x 2_local","2020",FALSE,3.44151621225881,-0.931056471453261,1.99505147205939,-21.2931045130815,45.6264907726064,1.99505147205939,2.80891486745835,0.720654210631171,2.31698890525401,-1.46054371458576,-38.663960356422,1.16062124284392,0,0,-1,-2,-4,20,2,22.1311202168465
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_25.0_ 2x 2_local","2020",FALSE,6.65826333120114,-2.77416630663,3.89121042183149,-29.4109409043827,41.2535324538739,3.89121042183149,5.68082243229361,0.898750110393814,4.44160525769631,-4.10913640942341,-48.0559063692022,3.22860777504918,1,0,0,-6,-11,25,2,36.7544063727061
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_25.0_ 2x 2_local","2020",FALSE,4.95507725915692,-0.788733874180183,2.74023173254364,-13.7318908277183,47.7075528587513,2.74023173254364,3.8539079096355,0.807794519541742,2.70909505918388,-2.89695260890756,-51.6754901210788,2.17133414958777,1,2,1,-2,-7,25,2,18.4246008753777
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_25.0_ 2x 2_local","2020",FALSE,3.49601222538937,-0.876560458322694,2.13607024925494,-20.0467898815702,48.8515664293437,2.13607024925494,2.95243491462211,0.670422706143393,2.22834246313449,-1.54919015670528,-41.010636111224,1.2076231268863,0,0,-1,-2,-4,25,2,23.1508373777072
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_30.0_ 2x 2_local","2020",FALSE,6.47393907176076,-2.95849056607038,4.25419107078608,-31.3650955232638,45.1017525084266,4.25419107078608,6.17615341566231,0.875011614403999,3.98095272660028,-4.56978894051945,-53.4431879528265,3.60824744702546,1,1,0,-6,-13,30,2,39.5527054707209
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_30.0_ 2x 2_local","2020",FALSE,5.00134436179701,-0.742466771540099,2.97451132260194,-12.926378571726,51.7863706440112,2.97451132260194,4.13280494971895,0.755119431401649,2.49503744951401,-3.11101021857742,-55.4938238624816,2.38838422326047,1,2,1,-2,-8,30,2,18.9254870255788
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_30.0_ 2x 2_local","2020",FALSE,3.56485478477972,-0.807717898932347,2.25203646415552,-18.4723721561248,51.5036942106053,2.25203646415552,3.06468788751316,0.624872198669865,2.15555126116698,-1.62198135867279,-42.9375870946574,1.26124174679562,0,1,0,-2,-4,30,2,24.1915571371714
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_50.0_ 2x 2_local","2020",FALSE,6.15119938924217,-3.28123024858897,5.27688683263717,-34.7866920250194,55.9440890125794,5.27688683263717,7.48012325864082,0.764529631274938,2.68933225572759,-5.86140941139213,-68.5485498168081,4.73473274967272,1,2,0,-8,-16,50,2,42.8494894862175
