"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","49UCP","49UCP_shuffle_10.0_  4x  4_ST512","2020",FALSE,2.41836365796962,-0.0377106226227863,0.51833088229922,-1.53540236631974,21.104039336066,0.51833088229922,1.17814909720978,0.951678560273111,3.57214547868439,-0.255434488591225,-6.67352454488462,0.1286253269765,0,0,0,0,0,10,4,8.69637152353923
"shuffle","55HEV","55HEV_shuffle_10.0_  4x  4_ST512","2020",FALSE,5.31148124770901,-0.142179806797756,0.74867458740672,-2.60705249880284,13.727926615242,0.74867458740672,1.3050137376933,0.978734408713388,5.14075252226381,-0.646199215627416,-11.1664870366258,0.490724002938357,0,0,0,0,-2,10,4,11.1176502585411
"shuffle","34UFD","34UFD_shuffle_15.0_  4x  4_ST512","2020",FALSE,3.39326045315128,-0.412979483772283,1.05394314777888,-10.8500643841722,27.6898767614409,1.05394314777888,1.70412673637878,0.866933811811082,2.68595247994097,-0.61278010182385,-18.5762284948849,0.515729529212953,0,0,0,-1,-2,15,4,12.9779877463977
"shuffle","35VML","35VML_shuffle_15.0_  4x  4_ST512","2020",FALSE,2.82618903551344,0.146520799163322,0.694519400753539,5.46787087952695,25.9181114785881,0.694519400753539,1.13739890204166,0.8052412132882,1.76097398708948,-0.0835645465042421,-4.53037683855989,0.186063148304413,0,0,1,0,0,15,4,8.59828991492589
"shuffle","49NHC","49NHC_shuffle_15.0_  4x  4_ST512","2020",FALSE,35.7792463939826,-4.32445518820868,4.41040360380759,-10.7831821442862,10.9974975620856,4.41040360380759,5.87960714954711,0.849949326707139,7.56054730409582,1.09543705415214,16.9438263510151,4.32452283296473,-7,-6,-4,-3,-3,15,4,7.44538560708364
"shuffle","49UCP","49UCP_shuffle_15.0_  4x  4_ST512","2020",FALSE,2.41013247885579,-0.0459418017366091,0.681690781410698,-1.87053795968777,27.7552998619519,0.681690781410698,1.4275611430492,0.928252041906597,3.45825481490048,-0.369325152375128,-9.64905124210915,0.184702568209348,0,0,0,0,-1,15,4,9.28659462134043
"shuffle","55HEV","55HEV_shuffle_15.0_  4x  4_ST512","2020",FALSE,5.25964304638632,-0.194018008120451,1.02605258454087,-3.55757364055691,18.8140145543692,1.02605258454087,1.6666475712021,0.966413202247518,4.86575426914797,-0.921197468743256,-15.9185268940733,0.701757168584083,0,1,1,0,-3,15,4,12.2062498728434
"shuffle","34UFD","34UFD_shuffle_20.0_  4x  4_ST512","2020",FALSE,3.32960639758444,-0.476633539339125,1.24552513968508,-12.5224249452958,32.7232428939251,1.24552513968508,1.93948973114846,0.823082125277083,2.55789115109348,-0.740841430671337,-22.4583658210629,0.615629169896118,0,0,0,-1,-2,20,4,14.206022687753
"shuffle","35VML","35VML_shuffle_20.0_  4x  4_ST512","2020",FALSE,2.87973973614831,0.20007149979819,0.827488118958443,7.46627873869567,30.8802450890539,0.827488118958443,1.276564729437,0.753630624237472,1.73600034491323,-0.108538188680489,-5.88430042006353,0.25096135124577,0,0,1,0,0,20,4,8.97818809747696
"shuffle","49NHC","49NHC_shuffle_20.0_  4x  4_ST512","2020",FALSE,34.4161331323259,-5.68756844986547,5.76963269119429,-14.1821533311806,14.3867834228958,5.76963269119429,7.40952704652367,0.799616518473856,7.90454268357212,1.43943243362844,22.2646231538121,5.68768457188367,-9,-8,-6,-4,-3,20,4,7.74157408475876
