mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_30.0_ 64x 64_ST512,2020,FALSE,14.3738335935239,-0.329322790649361,2.74690131605979,-2.23981016078867,18.6823920271745,2.74690131605979,4.31713989007228,0.866555786159261,8.1296216103393,-0.352956191556716,-4.16095436787887,0.418178534908644,0,1,0,-1,-1,30,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_30.0_ 64x 64_ST512,2020,FALSE,6.90014404581009,-2.53228559202105,3.18121428482946,-26.8465887290023,33.7263505477994,3.18121428482946,5.77650284325358,0.794910750228193,6.59563034652235,-1.95511132059737,-22.864815669913,2.53228559201973,0,-1,-1,-6,-5,30,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_30.0_ 64x 64_ST512,2020,FALSE,20.2254731289791,-2.05451929570582,3.4263303198718,-9.22136442663029,15.3785075621284,3.4263303198718,7.49046853591676,0.894531813178218,15.6334144827993,-0.0979073239181076,-0.622371884073343,2.09280311717678,0,0,-5,-1,0,30,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_50.0_ 64x 64_ST512,2020,FALSE,13.5192408043811,-1.18391557979218,3.73633716643831,-8.05211853059367,25.4118032129494,3.73633716643831,5.43047725418468,0.783919932877856,7.2432134427548,-1.23936435914121,-14.6107042939729,1.39777473466162,-1,1,0,-3,-3,50,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_50.0_ 64x 64_ST512,2020,FALSE,5.91290514852092,-3.51952448931022,4.49088162582526,-37.3130214000672,47.6110800531545,4.49088162582526,7.25143433330509,0.671021637201356,5.68634421783625,-2.86439744928347,-33.4988187082996,3.5195244893095,0,-1,-2,-8,-7,50,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_50.0_ 64x 64_ST512,2020,FALSE,19.1916842993898,-3.08830812529512,5.37307043387306,-13.8613517743994,24.1161232528967,5.37307043387306,9.81500242306032,0.822131210481782,15.5003253392524,-0.230996467464962,-1.4683856213934,3.14738555182383,0,-1,-9,-1,-1,50,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_65.0_ 64x 64_ST512,2020,FALSE,13.0583954461638,-1.64476093800942,4.55375415254028,-11.1864479641927,30.9712692537367,4.55375415254028,6.32166494564308,0.700961944003038,6.7574898799746,-1.72508792192141,-20.3368358323318,1.92294142768185,-1,1,-1,-4,-4,65,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_65.0_ 64x 64_ST512,2020,FALSE,5.44801867201036,-3.98441096582077,5.22059884496222,-42.2416187430679,55.3473393962431,5.22059884496222,8.02984591245734,0.579929939183985,5.23761026301223,-3.31313140410749,-38.7467138300707,3.98441096582248,0,-2,-2,-9,-9,65,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_65.0_ 64x 64_ST512,2020,FALSE,18.6739696809013,-3.60602274378363,6.66421883047112,-16.1850267946607,29.9112257465921,6.66421883047112,11.2248155600704,0.766998784380591,15.3982695969374,-0.333052209779954,-2.11712794304251,3.67711861675984,0,-1,-11,-2,-1,65,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_80.0_ 64x 64_ST512,2020,FALSE,12.6679073847227,-2.03524899945057,5.58207668723823,-13.8422590787468,37.9651589181686,5.58207668723823,7.41471494902099,0.570541190965424,6.35753450608277,-2.12504329581325,-25.0518574122393,2.35749034045747,-1,1,-1,-5,-5,80,64
