"tile","out_name","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","quantile_shift","wasserstein","year"
"49UCP","49UCP_shuffle25.0_local-NA","",NA,NA,25,NA,8.35109861997497,5.22387726165154,5.30827167472505,105.465239079754,106.489719488981,0.721656767602927,4.39836242957042,1,5.22387726164936,"2020"
"55HEV","55HEV_shuffle25.0_local-NA","",NA,NA,25,NA,7.49160182870407,0.4524629510143,3.35435120461261,46.6248051526003,69.3370922109155,0.860664304986892,4.09024238331826,3,2.88296131771724,"2020"
"10TES","10TES_shuffle30.0_local-NA","",NA,NA,30,NA,23.2869039484796,2.65703009438322,3.57181973047478,21.0595142062624,25.3528564778779,0.879773108622809,3.78657272092241,6,2.65721077912669,"2020"
"17SNB","17SNB_shuffle30.0_local-NA","",NA,NA,30,NA,18.0820373188327,4.67081760125666,5.29568057195737,32.6030192943918,36.3233189230793,0.524246975232681,4.50272603944024,4,4.6710030401201,"2020"
"20MMD","20MMD_shuffle30.0_local-NA","",NA,NA,30,NA,34.9186729071319,-3.69798358619175,4.52704877153966,-8.8572484547554,13.0557906952673,0.794317772385974,3.39493691038064,2,4.29354698075911,"2020"
"32TMT","32TMT_shuffle30.0_local-NA","",NA,NA,30,NA,18.3614874067107,1.37065330395199,5.65146637565164,26.5140974230781,43.7458232689802,0.836721204111751,6.52192558823045,8,4.90933983391832,"2020"
"32UQU","32UQU_shuffle30.0_local-NA","",NA,NA,30,NA,12.1335523242106,3.53624443828985,4.94277587372993,61.2686943602077,70.2975163791185,0.758768430041368,4.74428511961144,4,3.55303584961741,"2020"
"33NTG","33NTG_shuffle30.0_local-NA","",NA,NA,30,NA,21.1802563972243,-1.40788746923112,5.58452800794614,17.6448429097291,45.049957795744,0.891543369637439,7.05168775054937,3,4.80292591791865,"2020"
"34UFD","34UFD_shuffle30.0_local-NA","",NA,NA,30,NA,7.61709713329124,2.40095906204289,3.4792372259405,70.5865033532817,80.9885421766283,0.753215539089669,3.34594615547143,3,2.85057762112234,"2020"
"35VML","35VML_shuffle30.0_local-NA","",NA,NA,30,NA,5.80730533464261,1.42058560245053,1.72397504110943,33.6453970616707,38.9175446152596,0.477499824616809,1.68931255699529,3,1.4205856024502,"2020"
"49NHC","49NHC_shuffle30.0_local-NA","",NA,NA,30,NA,33.8327265681515,-5.27611274403699,7.28316474968847,-16.4669077445747,22.1824986062452,0.522646100689791,8.05927940220715,-9,5.73231182955488,"2020"
"49UCP","49UCP_shuffle30.0_local-NA","",NA,NA,30,NA,4.53500136640792,1.40778000808449,2.14968080064431,39.1189787060178,68.128062921012,0.736882522215441,2.8104970866323,0,1.51019356762559,"2020"
"55HEV","55HEV_shuffle30.0_local-NA","",NA,NA,30,NA,10.1510859064051,3.11194702871529,4.08593518308668,72.058929735129,78.557057787505,0.868450081406367,3.54422006932724,4,3.34649848255157,"2020"
"10TES","10TES_shuffle50.0_local-NA","",NA,NA,50,NA,23.7769130927484,3.14700465729689,4.41410318716173,23.1498440132014,29.1226544718898,0.810568982268461,4.64642320583048,7,3.14721992339568,"2020"
"17SNB","17SNB_shuffle50.0_local-NA","",NA,NA,50,NA,18.4848068704092,5.07358715283316,5.70696656445653,36.2232931756818,39.3979213517112,0.467517435410528,4.38247150359758,7,5.10930550107591,"2020"
"20MMD","20MMD_shuffle50.0_local-NA","",NA,NA,50,NA,31.2161828578115,-7.40047363551218,7.63611274508742,-21.2441838420181,22.8764348398727,0.71671185566683,3.90186997111433,-9,7.43191234901078,"2020"
"32TMT","32TMT_shuffle50.0_local-NA","",NA,NA,50,NA,17.6351500606262,0.644315957867446,6.50313723673157,23.309963174074,47.8042298401784,0.745251158503724,7.55907793806155,9,5.58324054576128,"2020"
"32UQU","32UQU_shuffle50.0_local-NA","",NA,NA,50,NA,11.1276058540682,2.5302979681475,5.23102183735727,55.6685233471921,73.021833976352,0.673158396931942,5.45728620804285,5,4.05650242662283,"2020"
"33NTG","33NTG_shuffle50.0_local-NA","",NA,NA,50,NA,20.1739463474984,-2.41419751895702,6.55320290395337,11.9126310481278,49.3880478071311,0.839307443664998,8.19329107271443,3,5.41038693961497,"2020"
