"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49NHC","B05",0.1,"True",-2.48491246675555,3.46874073347749,-5.26803413491272,8.5379860471279,0.917255999020885,3.33789476057227,"49NHC_B05_10_D","2020"
"49UCP","B05",0.1,"True",-1.64827258053809,1.69776321945736,-54.6427200330365,56.9997782743546,0.927648797628802,1.96295557574,"49UCP_B05_10_D","2020"
"55HEV","B05",0.1,"True",-0.56820065443878,2.43320602492906,0.585954166102042,50.2304687755162,0.911692796646195,3.14552804766455,"55HEV_B05_10_D","2020"
"10TES","B8A",0.1,"True",-0.660476887855566,1.79748973973677,4.00005801631791,15.9424801143228,0.96513583931719,2.24010889738079,"10TES_B8A_10_D","2020"
"17SNB","B8A",0.1,"True",-2.01284360214004,3.0684415962749,-8.64509996143299,15.4412717370068,0.821397912181804,3.60683194868436,"17SNB_B8A_10_D","2020"
"20MMD","B8A",0.1,"True",-0.933396728503861,1.2502103167519,-2.99786564832351,4.28085768625154,0.940712961768326,1.52146852977042,"20MMD_B8A_10_D","2020"
"32TMT","B8A",0.1,"True",-0.193108664088417,0.861464817531906,1.09058974674284,8.36421561323953,0.992669760880912,1.24876524236704,"32TMT_B8A_10_D","2020"
"32UQU","B8A",0.1,"True",0.431330531171909,1.92073263292793,32.0615784127792,42.0707506922229,0.953491470789925,2.58777151428493,"32UQU_B8A_10_D","2020"
"33NTG","B8A",0.1,"True",2.85957546881749,4.68532310482513,47.9093180346833,53.7387326918748,0.953012394420168,5.97654482459383,"33NTG_B8A_10_D","2020"
"34UFD","B8A",0.1,"True",1.37707896212225,2.29642294376441,47.637056401856,56.4840347341575,0.845404147909449,2.53607691259919,"34UFD_B8A_10_D","2020"
"35VML","B8A",0.1,"True",0.363081145872339,1.14925102514313,14.0142300219855,28.6204031562656,0.684429887695021,1.48314928161262,"35VML_B8A_10_D","2020"
"49NHC","B8A",0.1,"True",-3.47474620472362,4.19214020248832,-7.90852691452715,10.5394867620201,0.91125017933338,3.38405833626613,"49NHC_B8A_10_D","2020"
"49UCP","B8A",0.1,"True",5.65193931970249,5.71760554531794,99.0225995631009,99.5812042897411,0.837234473641669,2.74615727348272,"49UCP_B8A_10_D","2020"
"55HEV","B8A",0.1,"True",3.92477573224622,4.02201734262349,68.851161575116,69.52687245207,0.924019515964348,2.8841049350524,"55HEV_B8A_10_D","2020"
"10TES","B11",0.1,"True",-0.506271084790531,0.763506349928072,-1.37797842239537,6.48551782086102,0.992338405821412,0.982846500894612,"10TES_B11_10_D","2020"
"17SNB","B11",0.1,"True",1.2958494510643,2.072694066254,5.41144956886286,10.1675839592725,0.914146608095272,2.65668762491577,"17SNB_B11_10_D","2020"
"20MMD","B11",0.1,"True",-1.81543783543491,1.88448963143205,-5.57397083426058,6.07209677786281,0.950156546981982,1.31498542533963,"20MMD_B11_10_D","2020"
"32TMT","B11",0.1,"True",-0.159689201358695,0.694518584579844,-1.10583488854959,6.22298083127902,0.993924825938546,1.11032796367255,"32TMT_B11_10_D","2020"
"32UQU","B11",0.1,"True",0.249343499689306,0.787703287499852,6.04496303306475,16.192538141181,0.986133291492387,1.34370693579397,"32UQU_B11_10_D","2020"
"33NTG","B11",0.1,"True",-0.869190893924162,1.24381302523928,-14.367661177436,19.1132772655865,0.993431380089172,1.74316817777511,"33NTG_B11_10_D","2020"
"34UFD","B11",0.1,"True",-0.524301763603608,1.15136169405636,-22.5134592751007,35.6054793867762,0.942087650026595,1.62325132515675,"34UFD_B11_10_D","2020"
"35VML","B11",0.1,"True",-1.51492327354862,1.60679425431446,-48.4588916093484,52.4200882868662,0.776373530220029,1.31056391467284,"35VML_B11_10_D","2020"
"49NHC","B11",0.1,"True",-0.293694936958501,0.446065626317516,-0.575433742224286,1.10464980914157,0.997331428481426,0.616675504733015,"49NHC_B11_10_D","2020"
"49UCP","B11",0.1,"True",-0.802792158305532,1.54068368504128,-17.3478800014704,42.3987028251056,0.846375652680276,2.36794425443168,"49UCP_B11_10_D","2020"
"55HEV","B11",0.1,"True",0.638863610025132,1.94125806592223,15.9325302329837,50.3565397975981,0.940348025967926,2.62515682088396,"55HEV_B11_10_D","2020"
"10TES","B12",0.1,"True",1.94652378334828,1.99999107289762,10.7283682702458,11.8404562511507,0.980366181782335,1.59563314571854,"10TES_B12_10_D","2020"
"17SNB","B12",0.1,"True",-0.697295406361283,2.08883820194666,-3.6989132967068,10.3026999801543,0.904754214647028,2.7784719067291,"17SNB_B12_10_D","2020"
"20MMD","B12",0.1,"True",-1.48412265401299,1.55304939748199,-4.78088213386892,5.0744149006788,0.959884631325664,1.25007513754544,"20MMD_B12_10_D","2020"
"32TMT","B12",0.1,"True",0.321697955643746,1.18905244798219,5.51074016570135,10.4385284174433,0.98985987689246,1.54135140488999,"32TMT_B12_10_D","2020"
"32UQU","B12",0.1,"True",1.22106632169583,1.42358656800589,14.7470187601031,21.8216391728836,0.984319072070336,1.75066128811403,"32UQU_B12_10_D","2020"
"33NTG","B12",0.1,"True",-1.19726283731548,1.36767058920342,-2.03166079873071,12.6325643980034,0.997867232861214,1.40284017332584,"33NTG_B12_10_D","2020"
