"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","shuffle_type","time_min","location"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_2.5_ 2x 2_local",2020,FALSE,2.77413059704532,0.0944623606952057,0.328919340088837,3.5251513382817,12.2746292106984,0.328919340088837,0.706480459131578,0.927077798883238,1.8199132977945,-0.0246252357992205,-1.33503504268046,0.100598401881584,0,0,1,0,0,2.5,2,"local",15.988067305088,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_2.5_ 2x 2_local",2020,FALSE,2.37638061476296,-0.0796936363732632,0.414743426417967,-3.24475680392787,16.8864368097218,0.414743426417967,0.987203120455939,0.966776836376343,3.59588564852759,-0.231694321018336,-6.05328491793268,0.141523597161361,0,0,0,0,0,2.5,2,"local",19.0597075422605,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_5.0_ 2x 2_local",2020,FALSE,30.7092349862488,-0.436532971619968,0.631292276606047,-1.40158037589721,2.02689584491865,0.631292276606047,1.00798762812655,0.984557404907842,5.13428038470943,-0.0533971935032946,-1.02930825399699,0.436532971619965,-1,-1,0,0,-1,5,2,"local",8.75903680324554,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_5.0_ 2x 2_local",2020,FALSE,2.87471960444188,0.195051368091763,0.537480125601676,7.27893719998099,20.057711559613,0.537480125601676,0.950371576486257,0.869962097998622,1.79918350392221,-0.0453550296715075,-2.45888219982817,0.206393026584738,0,0,1,0,0,5,2,"local",17.9796242952347,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_5.0_ 2x 2_local",2020,FALSE,2.33106345621181,-0.125010673308941,0.675324612177065,-5.0898575008945,27.4961005476183,0.675324612177065,1.35326539341769,0.937384186519692,3.39182513711117,-0.43575480194598,-11.3846035584908,0.255783566165374,0,0,0,0,-1,5,2,"local",18.2495763381322,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_10.0_ 2x 2_local",2020,FALSE,30.3316354491645,-0.814144340512183,1.04994525596614,-2.61397963387012,3.37106748669093,1.04994525596614,1.47382907380795,0.971559115920329,5.0579783899571,-0.12967978957398,-2.49977514103872,0.814144407186355,-1,-1,-1,-1,-1,10,2,"local",10.4270004550616,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_10.0_ 2x 2_local",2020,FALSE,3.08684278607619,0.407174549726077,0.848305576559843,15.1949612344801,31.6571120653089,0.848305576559843,1.28430132196346,0.772088357597273,1.75507010669389,-0.0894684268998243,-4.85045041187146,0.427147594766324,1,1,1,0,0,10,2,"local",17.7935795505842,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_10.0_ 2x 2_local",2020,FALSE,2.31409131629801,-0.141982800390033,1.05684223919586,-5.78088419340918,43.0297372548752,1.05684223919586,1.85119528942495,0.879795070192423,3.05706951366342,-0.770510447399989,-20.1304859790812,0.420590323153437,0,1,0,0,-2,10,2,"local",17.1516725381215,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_15.0_ 2x 2_local",2020,FALSE,29.9964508108833,-1.14932947241208,1.41349262094867,-3.69016111318461,4.53831179727026,1.41349262094867,1.87831696887341,0.958116680851313,4.96626938522348,-0.221386136090889,-4.26755660974954,1.149329472412,-1,-1,-1,-1,-2,15,2,"local",8.76586743195852,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_15.0_ 2x 2_local",2020,FALSE,3.29732726808366,0.617659031733544,1.0882607430444,23.049832190228,40.6117715723901,1.0882607430444,1.53316261958863,0.689725765360973,1.70271491371871,-0.14182361987501,-7.68884017829081,0.644069925038394,1,1,1,1,0,15,2,"local",17.3979984760284,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_15.0_ 2x 2_local",2020,FALSE,2.36573927829841,-0.0903350022939975,1.33579446897658,-3.67802403240869,54.387380688437,1.33579446897658,2.20110867343171,0.822805926405676,2.8256417820567,-1.00193818521891,-26.1768060702875,0.512379346522058,0,1,0,0,-2,15,2,"local",17.7520008007685,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_20.0_ 2x 2_local",2020,FALSE,29.6964717515818,-1.44932294303161,1.73951602524371,-4.65335033908211,5.58507510339606,1.73951602524371,2.23749076327363,0.944509648430867,4.85468089635615,-0.332951446342188,-6.41817739475739,1.44937913268348,-1,-2,-1,-1,-2,20,2,"local",9.16806623140971,"Brazil"
